gene_id	WT_VLCO2_1	WT_VLCO2_0	WT_LoCO2_0	WT_LoCO2_1	WT_HiCO2_0	WT_HiCO2_1	cia5_VLCO2_0	cia5_VLCO2_1	cia5_LoCO2_0	cia5_LoCO2_1	cia5_HiCO2_0	cia5_HiCO2_1
Cre01.g055000	4.0801	4.32574	4.62048	1.98399	5.39206	2.56405	2.07717	3.71683	2.4731	3.21908	4.93564	4.11257
Cre01.g055050	1.91051	1.92218	2.59046	2.24242	4.29676	4.31629	2.44194	1.99107	5.51773	4.57369	9.8253	9.31456
Cre01.g055100	15.8976	0.647895	0.943001	17.5139	2.91422	13.5201	6.46065	7.61474	6.70784	6.89589	5.00998	4.66169
Cre01.g055151	2.50942	1.13516	0.907097	1.04725	1.68196	1.45369	2.67274	3.04976	2.96664	3.22291	3.04416	3.00482
Cre01.g055200	3.48761	6.77878	5.50517	5.10486	4.33058	4.99143	6.40363	4.20161	5.40481	5.19867	4.15169	5.31645
Cre01.g055250	6.90947	4.87351	4.65657	6.04953	4.35128	5.6388	0.872039	1.19913	1.13532	1.02206	1.06146	1.58115
Cre01.g055300	0.987871	1.74717	1.64823	0.78489	0.833502	0.726337	1.86777	2.16392	1.92507	2.09597	1.72862	2.33981
Cre01.g055316	1.00105	1.09311	0.666553	0.718802	0.709708	0.358173	0.347351	0.490636	0.298338	0.491618	0.428519	0
Cre01.g055350	0.200028	0.215437	0.162589	0.152607	0.150738	0.184675	0.0983174	0.0520411	0.050667	0.0709156	0.0568155	0.0641488
Cre01.g055400	3.56408	1.26787	1.04886	7.26695	12.5622	25.5278	9.76084	7.74115	19.8627	13.5833	27.6463	38.8257
Cre01.g055404	5.5949	5.54273	3.90877	2.04799	3.3291	2.22481	3.35649	2.24007	2.40241	1.84689	2.67575	3.11466
Cre01.g055408	27.1588	27.4075	26.2008	16.4681	63.3494	35.7755	34.7176	33.3209	31.9078	29.3288	41.8606	41.2413
Cre01.g055412	2.70236	3.07456	3.20576	1.98241	3.52019	1.98128	6.39319	8.44735	6.7605	6.7148	4.99543	3.55376
Cre01.g055416	19.8624	11.8523	13.7953	16.7691	10.9899	22.2552	13.6185	14.1611	20.2158	14.1371	17.7595	23.1584
Cre01.g055420	101.632	110.369	122.358	152.775	123.047	134.44	111.295	100.428	107.234	106.872	107.382	118.361
Cre01.g055424	1.32739	2.70165	3.23829	1.45413	2.60802	1.20148	2.28372	1.92	2.12962	2.24259	1.55953	2.49761
Cre01.g055428	9.44384	11.7461	8.82548	9.92089	8.84669	8.14323	8.3948	8.71443	6.48928	6.36529	6.38283	6.38712
Cre01.g055432	8.2828	6.65713	5.73128	7.72257	5.58841	6.41024	6.04571	5.71627	4.70671	3.96577	4.14276	3.08824
Cre01.g055436	1.20719	0.748279	0.539053	1.73364	0.934619	2.46817	9.07592	10.2084	7.41155	7.48827	7.81765	4.6645
Cre01.g055440	0	0.042654	0	0	0	0	0	0	0.0451294	0	0	0.13713
Cre01.g055444	1.31093	1.58102	1.78978	0.866222	1.33101	1.09693	1.43199	1.75272	1.42672	1.61415	1.32475	1.54474
Cre01.g055448	0.84151	0.952751	0.663726	0.6465	0.755199	0.398847	0.601704	0.42507	0.310082	0.868856	0.0696102	0.471109
Cre01.g055453	50.8607	31.9216	39.26	57.4143	75.8169	76.0457	50.5908	53.7185	77.5252	84.7726	97.8497	103.205
